Aldridge,Branch,Challinor,Cook,Coyne,Frail,Hill,Irons,Jones G,Jones L,Kelly,Kubicki,Mahon,McGreal,McIntyre,Mellon,Morgan,Morrissey,O'Brien,Parkinson,Simonsen,Stevens,Thompson,Thorn
12,7+,,8#,1,,,13,10,11,9,,,4,,,,14,6*,,,2,3,5
,,,8#,1,,,14,10,11,9,,,4,,,13,7,6+,,,2,3,5
12,13,,8,1,,,14,10,11,9*,,,4,,,,7#,6+,,,2,3,5
,13,,8,1,,,14,10,11#,9,,,4,,,,7+,6,,,2,3,5
,13,,8+,1,,,14,10,11,9,,,4,,,,7#,6,,,2,3,5
12,13,,8,1,,,14,10,11,9*,,,4,,,,7#,6,,,2,3,5+
12,7,4,8,1,,,13,9,11,,,,,,,10,,6#,,,2*,3,5
,7,13,8,1,,,6+,9,11,,,,4,,,10*,14,12,,,2#,3,5
,13,,8,1,,,,10,11,9,,,4,,,,7#,6,,,2,3,5
,13,,8,1,,,14,10+,11,9,,12,4,,,,7#,6*,,,2,3,5
,13,5,8*,1,,,,10,11,9,,12,4,,,14,7#,6,,,2+,3,
,13,5,8,1,,,,10,11#,9,,12,4,,,14,7*,6+,,,2,3,
,11,5,8,1,,,14,10,,9,,13,4,,,,7,6+,,,2#,3,
12,8+,5#,,1,,,6,10,11*,9,,14,4,,,13,7,,,,2,3,
,8,5,,1,,,6,10,11+,9,,14,4*,,,,7,12,,,2,3,
,14,5,,1,,4,6,10,11,9+,,8#,,13,,7,,,,,2,3,
,9,5,,1,,,6,10,11,,,8*,,,,4,7+,12,14,,2,3,
,9,5,,1,,,6,10,11,,,14,,13,,4,7+,8,,,2,3#,
,8,7,,1,,,6+,10,11,9,,,4,,14,,,,,,2,3,5
,8,,,1,,,6,10,11,9,,,4,,7,,,,,,2,3,5
,8*,13,,1,,,6,10+,11,9,,14,4,,7,,12,,,,2,3,5#
8*,9,,,,,,6+,,11,,,14,4,,7,,12,10,,1,2,3,5
8+,,,,,,,6,14,11#,9,,13,4*,,7,,12,10,,1,2,3,5
8*,,13,,,,,6+,14,11,9,,,4,,7,,12,10,,1,2,3,5#
12,,5,,,,,6,,11#,9,,13,4,,8,3,7,10,,1,2*,,
8,,5,,,,,6,9,,,,,4,,11,3,7,10*,12,1,2,,
12,,13,,,,,6,8,11,9,,,4,,10*,2,7,,,1,,3,5#
,,,,,,,6*,8,11,9,,,4,,7,,12,10,,1,2,3,5
,,,,,,,6,,11,9,,,4,,7,8,,10,,1,2,3,5
8#,,,,,,,6,14,,9,,,4,,11,7,,10,13,1,2+,3,5
,,2,,,,13,6,7,,9,,12,4,,11*,,14,10,8+,1,,3,5#
8+,,5,,,,9,6,7,,,,,4,,11,,,10,14,1,2,3,
,,5,,,,6,,7,,9,,,4,,11,2,,10,8,1,,3,
,14,5,,,6,,,7,11+,,,13,4,,8#,2*,12,10,9,1,,3,
,14,5,,,2#,,6,7*,,9,,,4,,11,13,12,10,8+,1,,3,
,11,5,,,2,8,6,12,,9,,,4*,,14,,7,10+,,1,,3,
,11#,5,,,2+,8,6,12,,9,,,4,,14,,7,10*,13,1,,3,
,11+,5,,,,8,6#,12,,9,,,4,,13,2,7,10*,14,1,,3,
,,5,,,,8,6,14,,9,,,4,,12,2*,7,10,11+,1,,3,
,,5,,,,2,6,7,12,9,,,4,,8,,,10,11*,1,,3,
,12,5,,,,8,6,9*,11,,,,4,,7,2,,10,,1,,3,
,11,5,,,14#,,6*,9,,12,,13,4,,8,2+,7,10,,1,,3,
,11#,5,,,,,6,8,13,9,2,,4,,14,,7+,10,,1,,3,
,11,5,,,,8,6,9+,,,2,14,4,,12,,7*,10#,13,1,,3,
,,5,,,,,6,8,11#,9,2,14,4,,12,,7*,10+,13,1,,3,
,,5,,,,,6,8,11,9,2*,,4,,12,,7,10,,1,,3,
,,5,,,,,6*,8,11#,9,2,,4,,12,,7,10,13,1,,3,
,,5,,,,14,6,9,11#,,2,,4,,8,,7+,10,13,1,,3,
,,5,,,,11,6,9*,12,,2,,4,,8,14,7+,10,,1,,3,
,,5,,,,,6,9,,,2,13,4,,8,14,7,10#,11+,1,,3,
,,5,,,,11*,6,9,,,2,13,4,,8,,7#,10,12,1,,3,
,,,,,,5,6*,9,14,,2,7+,4,,8,,12,10,11,1,,3,
,,,,,,5#,12,9,11*,,2,13,4,,8,,7,10,6,1,,3,
8,,,,,13,5,6*,9,14,,2#,,4,,10,,7+,12,11,1,,3,
