Adkins,Anderson,Ashcroft,Burgess,Clayton,Edwards,Hilditch,Hollifield,Hughes,McVicar,Miller,Morrissey,Muir,Mungall,Robinson,Rodaway,Siddall,Sinclair,Train,Vickers,Williams G,Worthington
1,11*,,3,10,4,,,,6,7,,12,2,,5,,,8,,,9
1,11,,3,10,4,,,,6,7,,12,2,,5,,,8,,,9*
1,11,12,3,10,4,,,,6*,7,,,2,,5,,,8,,,9
1,11,6,3,,4,,,,,7*,,10,2,,5,,12,8,,,9
1,11,10,3,,4,,,,,12,,7,6,,5,,2,8,,,9
1,11,10,3,,4,,,,6,,,7,5,,,,2,8,,,9
1,11,,3,,4,,,,6,10,,7,5,,,,2,8,,,9
1,11,12,3,,4,,,,6*,10,,7,5,,,,2,8,,,9
1,11,5,3,,4*,,,,6,,,10,2,,12,,7,8,,,9
1,11,5,3,,,,,4,6,,,10,2,,,,7,8,,,9
1,11,5,3,,6,,,4,,12,,10,2,,,,7*,8,,,9
1,11,,3,,6,,,4,,5,7,10,2,,,,,8,,,9
,11,,3,,6,,,4,,5,7,10,2,,,1,,8,,,9
,11,,3,,6,,,4,,5,7,10,2,,8,1,,,,,9
,11,,3,,6,,,4,,5,7,10,2,,8,1,,,,,9
,11,12,3,,6,,,4,,5,7,10,2*,,8,1,,,,,9
,11,,3,,6,,,4,,5,7,10,2,,8,1,,,,,9
,11,12,3,,6*,,,4,,5,7,10,2,,8,1,,,,,9
,11,12,3,,6,,,4,,5,7*,10,2,,8,1,,,,,9
,11,5,3,,,,,4,,,7,10,2,,8,1,,6,,,9
,11,5,3,,6,,,,,4,7,10,2,,8,1,,,,,9
,11,5,3,,6,,,,,4,7,10,2,,8,1,,,,,9
,11,5*,3,,6,,,12,,4,7,10,2,,8,1,,,,,9
,11,9,3,,,,,5,,4,7,,2,,8,1,,,,6,10
,11,12,3,,,,,5,,4,7,,2*,,8,1,,10,,6,9
,11,,3,,,,,5,,4,7,,2,,8,1,,10,,6,9
,11,12,3,,4*,,,5,,,7,,2,,8,1,,10,,6,9
,11,,3,,,,,5,,,7,,2,10,8,1,,4,,6,9
1,11,12,3,,9,,,5,,,7,,2,10*,8,,,4,,6,
1,11,5,3,,9,,,,,,7,,2,10,8,,,4,,6,
1,11,5*,,,3,,12,,,,7,,2,10,8,,,4,,6,9
1,11,5,12,,3,,,4,,,7,,2,,8,,,10,,6*,9
1,11,5*,3,,6,12,,4,,,7,,2,,8,,,10,,,9
1,11,,3,,6,9,,4,,,7,,2,,5,,,8,,,10
1,11,,3,,6,9,,4*,,12,7,,2,,5,,,8,,,10
1,11,,,,6,9,,4,,,7,10,2,,5,,,8*,,3,12
1,,5,,,6,,,4,,12,7,10,2,,5,,,8*,,3,9
1,11,5,3,,6,9,,,,7,,10,2,,,,,4,,8,11
1,11,9,3,,6,,,7,,,,10,2,,,,,4,,8,9
1,11,9,3,,,,,4,,7,,10,2,,5,,,8,,6,
1,11,9*,3,,,,,4,,7,,10,2,,5,,,8,,6,12
1,11,14,3,,,9+,,4,,7,,10,2,,5,,,8,,6*,12
1,11,,3,,,,,4,,7,12,10*,2,,5,,,8,,6,9
1,11,,3,,,,,4,,7,12,10,2,,5,,,8*,,6,9
1,11,,3,,,,,4,,7,,10,2,,5,,,8,,6,9
1,11,5,3,,,,,4*,,7,12,10,2,,5,,,8,,6,9
1,11,5,,,,12,,,,8,7,10,2,,4,,,,,6,9*
1,11,5,,,8,,,6*,,7,12,10,2,,4,,,8,,3,
1,11,,3,,8,9,,,,,12,10,2,,4,,,7*,6,3,9
1,11,,3,,4,,,,,,7,,2,,5,,,10,4,6,9
1,11,,3,,8,,,,,8*,7,12,2,,5,,,10,,6,9
1,11,,3,,8,,,4,,,7,,2,,5,,,10,,6,9
1,11,,3,,8,,,4,,,7*,12,2,,5,,,10,,6,9
1,11,,3,,8,12,,,,7,,,2,,5,,,10,4*,6,9
1,11,,3,,8,10,,4,,,7,,2,,5,,,,,6,9
