Bishop,Collings,Harvey,Higgins,Hughes,Malkin,Martindale,McCarrick,McKenna,Moore,Morrissey,Muir,Mungall,Murray,Nixon,Smith,Steel,Thomas,Vickers,Williams G
,,8,2,,,4,,,5,7,10,11,,1,,9,,6,3
,,8,2,,,4*,,12,5,7,10,11,,1,,9,,6,3
,,8,2,,,4,,,5,7,10,11,,1,,9,,6,3
,,8,2+,,,4,14,12,5*,7,10,11,,1,,9,,6,3
,,8,2,5,,4,,,,7,10,11,,1,,9,,6,3
,,8,2,5*,,4+,3,12,,7,10,11,,1,,9,,6,14
4+,,8,2,5,,,3,,,7,10,11,,1,14,9,,6,
4*,,8,2,5,,,3,12,,7,10,11,,1,,9,,6,
4,,8,2,5,,,3,,,7,10,11,,1,,9,,6,
4,,8,2,5,,,3,,,7,10,11,,1,,9,,6,
4,,8,2*,5,12,,3,,,7,10,11,,1,,9,,6,
4+,,8,2,5,12,14,3,,,7*,10,11,,1,,9,,6,
4,,8,2,5,,,3,,,,10,11,7,1,,9,,6,
4,,8,2,5,,,3,,,7*,10,11,12,1,,9,,6,
4,,8,2,5,,,3,,,7,10,11,,1,,9,,6,
4,,8,2,5,,,3,,,7,10,11,,1,,9,,6,
4+,,8,2,5,,14,3,,,7*,10,11,12,1,,9,,6,
4,,8,2,5,,,3,,,7,10,11,,1,,9,,6,
4,,8,2,5,,14,3+,,,7,10,11,,1,,9,,6,
4,,8+,2,,,14,,,5,7,10,11,,1,3,9,,6,
4,,,2,,,8,3,,5,7,10,11,,1,,9,,6,
,,8,2,,14,4,3,,5+,7,10,11,,1,,9,,6,
,,8,2,,,4,3,,5,7,10,11,,1,,9,,6,
,1,8*,2,,14,4,3,,5,7+,10,11,,,,9,,6,12
8,,,2,,12,4,3,,5+,,10,11,7*,1,,9,,6,14
8,,,2,,,4,3,,5*,7,10,11,,1,,9,,6,12
8,,12,2,6*,,4,3,,5,7,10,11,,1,,9,,,
12,,8*,2,,,4,3,,5,7,10,11,,1,,9,,6,
,,8,,2,14,4,3,,5,7+,10,11,,1,,9,,6,
12,,8*,,2,,4,3,,5,7,10,11,,1,,9,,6,
12,,8,2,,14,4*,3,,5+,7,10,11,,1,,9,,6,
,,8,2+,,14,4,3,,5,7,10,11,,1,,9,,6,
,,8,2,,,4,3,,5,7,10,11,,1,,9,,6,
,,8,2,,14,4,3,,5,7,10,11,,1,,9+,,6,
12,,8,2,14,9,4,3,,5+,7*,10,11,,1,,,,6,
12,,8,2,5*,7,4,3,,,,10,11,,1,,9,,6,
12,,8,2,5,9,4+,3*,14,,7,10,11,,1,,,,6,
12,,8,2,5,,4*,3,,,7,10,11,,1,,9,,6,
,,8,2,5,14,4,3,,,7,10,11,,1,,9+,,6,
12,,8,,5+,9,4*,3,,,7,10,11,,1,,,14,6,2
4,,8,,5+,14,,3,,,7,10,11,,1,,9,,6,2
4,,8*,2,5,,12,3,,,7,10,11,,1,,9,,6,
4,,8,2,5*,12,,3,,,7,10,11,,1,,9,,6,
4,,8,2,5*,12,,3,,,7,10,11,,1,,9,,6,
4,,8,2,5,,,3,,,7,10,11,,1,,9,,6,
4*,,8,2,5+,7,12,3,,,,10,11,14,1,,9,,6,
4,,8,2,5,7,,3,,,,10,11,,1,,9,,6,
4,,,2,5*,7,8,3,,,,10,11,12,1,,9,,6,
12,,8,2,5,14,4*,3,,,7+,10,11,,1,,9,,6,
4,,8,2,5,,,3,,,7,10,11,,1,,9,,6,
,,8,2,5,,,3,,,7,10,11,,1,,9,4,6,
,,8,2,5,12,,3,,,7*,10,11,,1,,9,4,6,
,,8,2,5,,12,3,,,7,10,11,,1,,9,4*,6,
12,,8*,2,5,14,,3,,,7,10,11+,,1,,9,4,6,
8,,,2,5+,12,4,3,,,7*,10,,14,1,,9,11,6,
4,,8*,2,5,,12,3,,,7,10,,,1,,9,11,6,
4*,,8,2,5,14,12,3,,,7+,10,,,1,,9,11,6,
4,,8*,2,5+,9,12,3,,,7,10,,14,1,,,11,6,
12,,8,2,5,14,4*,3,,,7,10,11,,1,,9+,,6,
12,,8,2,5,,4*,3,,,7,10,11,,1,,9,,6,
