Anderson,Bell,Bullock,Camden,Carmody,Dalton,Edwards,Farnworth,Grierson,Hay,Horwood,Hughes,McManus,Moore,Morrissey,Muir,Mungall,O'Rourke,Thorpe Ad,Thorpe Andy,Vickers,Williams G,Worthington
11,8,10,,,,,,,3*,,5,1,6,12,7,2,,,4,,,9
11,8,2,,,,,,,,,5,1,6,7,10,3,,,4,,,9
11,8,2,,,,,,,,,5,1,6,7,10,3,,,4,,,9
11,8*,6,,,,,,,,,3,1,5,7,10,2,,,4,12,,9
11,,6,,,,,,,,,3,1,9,7,8,2,,,4,5,,10
11,8,10,,,,,,,,,3,,5,7,9,2,1,,4,6,,
11,8,10,,,,,,,,,3,,5,7,9,2,1,,4,6,,
11,8,6,,,,,,,,,3,,5,7,9,2,1,,4,,,10
11*,8,10,,,,,,,,,6,,5,7,9,2,1,,4,,3,12
11,8,10,,,,,,,,,6,,5,7,9,2,1,,4,,3,
11,8,10,,,,,,,,,6,,5,7,9,2,1,,4,,3,
11,8,10,,,,,,,,,6*,,5,7,9,2,1,,,4,3,12
11,,,,,,,,,3,,2,,5,7,9,8,1,,,4,6,10
,8,11,,,,,,,3,,5,,10,7,9,2,1,,4,,6,
,8,11,,,,,,,3,,5,,10,7,9*,2,1,,4,,6,12
,8,11,,,,,,,3*,,5,,10,7,9,2,1,,4,12,6,
,8*,10,,,,,,,12,,5,,,7,9,2,1,11,4,6,3,
,8,11,,,,,,,3,,,,10,7,9,2,1,6,4,5,,
11,8,6+,,,,,,1,3,,12,,10,7,9,2,,,4,5*,,14
11,8,6,,,,,,,3,,12,,5*,7,9,2,1,10,4,,,
11,8,7,,,,,,1,3,,6,,,12,14,2,,10+,4,5*,,9
11*,8,6,,,,,,,3,,5,,,7,9,2,1,12,4,,,10
,8,11,,,1,,,,12,,5,,,7,9,2,,,4*,6,3,10
,8,11*,,,1,,,,,,6,,,7,9,2,,10,4,5,3,12
,8,11,,,,,,1,,,6,,10,7,9,2,,,4,5,3,
,8,11,,6,,,,1,,,,,10,7,9*,2,,,4,5,3,12
,8,11*,,6,,,,1,,,,,10,7,12,2,,,4,5,3,9
,8,,,,,,,1,,,3,,9,7,10,2,,,4,5,6,11
11,8,,,,,,1,,3,,4,,9,7,10,2,,,,5,,6
11,8,,,,,,1,,3,,4,,6,7,10,2,,,,5,,9
11,,12,,,,,1,,3,,4,,6,7,10,2*,,,,5,8,9
11,8,,,,,,,1,3,,9*,,5,7,10,,,,2,6,4,12
11,8,,,,,,1,,3,,10*,,,7,9,5,,,2,6,4,12
9,8,,,,,,1,,3,,11,,,7,10,5,,,2,6,4,
9,8,,,,,,1,,3,,11,,5,7,10,2,,,,6,4,
9,8,,,,,,1,,3,,11,,5,7,10,2,,,,6,4,
9,8,,,,,,,,3,,11,,,7,10,2,1,,5,6,4,
11,8,12,,,,,,,3,,9,,,7,10*,2,1,,5,6,4,
11,8,12,,,,,,,3,,9,,,7*,10,2,1,,5,6,4,
11,8,9,,,,,,,,,,,5,7,10,3,1,,2,6,4,
11,8,,,,,,,,3,9*,,,5,7,10,2,1,,12,6,4,
,8,,,,,,,,3,9,11,,,7,10,2,1,,5,6,4,
12,8,,,,,,,,3,9,11*,,,7,10,2,1,,5,6,4,
11,8,,,,,,,,3,9,7,,,,10,2,1,,5,6,4,
11,8,,,,,,,,3,,5,,9,,10,7,1,,2,6,4,
11*,8,12,,,,,,,3,,7,,9,,10,2,1,,5,6,4,
11*,8,12,,,,,,,3,,7,,9,,10,2,1,,5,6,4,
11,,8,,,,,,,3,,7,,9,,10,2,1,,5,6,4,
11,12,8,,,,,,,3*,,7,,9,,10,2,1,,5,6,4,
11,7,8,12,,,4,,,,,,,9*,,10,2,1,,5,6,3,
11,7,,9,,,8,,,,,,,4,,10,2,1,,5,6,3,
11,7*,,9,,,8,,,,,,,4,12,10,2,1,,5,6,3,
