Beamish,Byrne,Casey,Cumbes,Dempsey,Gill,Hudson,Johnson,Kennedy,King A,MacNamee,Mathias,Moorcroft,Pointon,Pritchard,Roberts,Robertson,Rowland,Scott,Sinclair,Smith,Storton S,Storton T,Yardley
,,4,1,,11,10,,,,,6,,3,,,,7,,8,5,2,,9
,,4,1,,11,10,,,,,6,,3,,,,7,,8,5,2,,9
,,4,1,,11,10,,,,,6,,3,,,,7,,8,5,2,,9
12,,4,1,,11,10,,,6,,3,,,,,,7*,,8,5,2,,9
7,,6,1,,11,,,,4,,3,,,8,,2,12,,10,5,,,9*
7,,6,1,,11,,,,4,,3,,,8,,2,,,10,5,,,9
7,,4,1,,,,,,10,11,3,,6,8,,2,,,,5,,,9
7*,,4,1,,,,,,10,11,3,,6,8,,2,,,12,5,,,9
7,,4,1,,,,,,10,11,6,,2,8*,,3,,,12,5,,,9
7*,,4,1,,,,,,10,11,6,,2,8,,3,,,12,5,,,9
,,6,1,,,,,,4,11,,,2,8,,3,7,,10,5,,,9
,,4,1,,,,,,6,11,,,2,8,,3,7,,10,5,,,9
10,,6,1,,,,,,4,11,3,,,8,,2,7,,,5,,,9
7,,12,1,,,,,,4,11,3,,,8*,,2,,,10,6,,5,9
10,,6,1,,7,9,,,8,11,3,,,,,2,,,,4,,5,
7,,6,1,,,10,,,8,11,3,,,,,2,,,,4,,5,9
7,,6,1,,,10,,,8,11,3,,,,,2,,,,4,,5,9
7,,6,1,,,10,,,8,11*,3,,,,,2,,,,4,12,5,9
,,6,1,,11*,9,,,8,,3,,,10,,2,,,7,4,12,5,
,,6,1,,,10,,,8,,3,,,7*,,2,,,11,4,12,5,9
7,,6,1,,,10,,,8,11,3,,,,,2,,,,4,,5,9
7,,6,1,,,10,,,8,11*,3,,,,,2,,,12,4,,5,9
7,,6,1,,,10,,,8,,3,,,,,2,,,11,4,,5,9
7,,6,1,,,10,,,8,,3,,,,,2,,,11,4,,5,9
7,,,1,,,,,,8,,6,,,,,3,10,,11,4,2,5,9
7,,6,1,,,,,,4,,,,,,,3,10*,8,11,12,2,5,9
7,,6,1,,,9,,,4,,,,,,,3,10,8,11,,2,5,
10,,6,1,,,9,,,4,,,,,,,3,7,8,11,,2,5,
10,,6,1,,,9,,,4,,,,,,,3,7,8,11,,2,5,
10,,6,1,,,9,,,4,7,,,,,,3,,8,11,,2,5,
,,6,1,,,9,,,4,7,,,,10,,3,,8,11,5,2,,
,,6,1,,3,9,,,4,7,,,,10,,,,8,11,5,2,,
,,6,1,,3,9,,,4,7,,,,10,,,,8,11,5,2,,
9,,6,1,,3,,,,,11,10,,4,8,,,,,7,5,2,,
7,,,1,,,,,,,11,6,4,,8,,3,,,10,9,2,5,
7,,,1,,,,,,,11,6,4,,8,,3,,,10,9,2,5,
10,,,1,,,9,,,6,11,8,4,,,,3,7,,,,2,5,
10,,,1,,,9,,,6,11,8,4,,,,3,7,,,,2,5,
10,,,1,,,9*,,,6,11,8,4,12,,,3,7,,,,2,5,
10,,,1,,,,,,6,11,8,4,,,,3,7,,9,,2,5,
10,,,,,,,,7,6,11,8,4,,,1,,9,,,3,2,5,
9,,,,,,,,7*,6,11,3,8,,,1,12,10,,,4,2,5,
10,7,,1,,,,,,6,11,,4,,,,3,,8,,9,2,5,
10,,,1,3,,,,,6,11,,4,,,,,7,8,,9,2,5,
10*,,,1,3,,,,,6,11,,4,12,,,,7,8,,9,2,5,
10,,,1,3,,,,,6,11,,4,,,,,7,8,,9,2,5,
10,,,1,3,,,,,6,11,,4,,,,,7,8,,9,2,5,
10,,,1,3,,,,,6,11,,4*,,,,12,7,8,,9,2,5,
10,,,1,3,,,,,6,11,,4,,,,,7,8,,9,2,5,
10,,,1,3,,,,,6,11,,4,,,,,7,8,,9,2,5,
10*,,,1,3,,,12,,6,11,,4,,,,,7,8,,9,2,5,
,,,,3,11,,,,6,7,,4,,,1,,10,8,,9,2,5,
