Adkins,Aspinall,Brown A,Brown D,Brown O,Burgess,Endersby,Ferguson,Griffiths,Hamilton,Hutchinson,Kerr,Leonard,Mathias,McGuire,McKenna,Mooney,Mungall,Oliver,Palios,Parry,Powell,Prosser,Warriner,Wellings,Williams G,Williams J,Woods
,,,,,3.0,1.0,,11,5,8.0,9,,,,10*,12,2.0,,,4,7,,,,,6,
,,,,,3.0,1.0,12,11*,5,8.0,9,,,,,10,2.0,,,4,7,,,,,6,
,,,,,2.0,1.0,12,11,5,8.0,9,,,,,3*,10.0,,,4,7,,,,,6,
,,,,,2.0,1.0,10,11,5,8.0,9,,,,12,3,,,,4,7,,,,,6*,
,12,,,,2.0,1.0,,11,5,,9,,10.0,,8*,3,6.0,,,4,7,,,,,,
,8*,,,,2.0,1.0,,11,5,,9,,10.0,,12,3,6.0,,,4,7,,,,,,
,8*,,,,2.0,1.0,6,11,5,,9,,10.0,,12,3,,,,4,7,,,,,,
,12,,,,2.0,1.0,8,11,5,10.0,9*,,,,,3,,,,4,7,,,,,6,
,10*,,,,2.0,1.0,,11,5,8.0,9,,,12.0,,3,,,,4,7,,,,,6,
,10,,,,2.0,1.0,4,11,5,,9,,,12.0,,3*,,,,,7,8.0,,,,6,
,3,,,10,2.0,1.0,8,11,5,,9,,4.0,12.0,,,,,,,7*,,,,,6,
,5,,,10,2.0,1.0,8,11*,,,9,,,,,3,4.0,,,,7,12.0,,,,6,
,11,,,10,2.0,1.0,8,,5,,9*,,4.0,,,3,7.0,,,,12,,,,,6,
,12,,,10,4.0,1.0,8,11,5*,9.0,,,2.0,,,,7.0,,,3,,,,,,6,
,9,,,10,2.0,1.0,8,11,,,,,4.0,,,,7.0,,,3,5,,,,,6,
,10,,,,3.0,1.0,8*,11,,,9,,2.0,,,12,7.0,,,4,5,,,,,6,
,11,,,,3.0,1.0,7,10,,,8,,2.0,12.0,,,9.0,,,4*,6,,,,,5,
,8,,,10,2.0,1.0,,11,,,9,,4.0,,,3,7.0,,,,5,,,,,6,
,8*,,,10,2.0,1.0,7,11,,,9,,4.0,,,3,5.0,,,,12,,,,,6,
1.0,8,3.0,,10*,2.0,,12,11,,,9,,4.0,,,,5.0,,,,7,,,,,6,
,8,4.0,,10,3.0,1.0,,11,5,,9,,,,,,2.0,,,,7,,,,,6,
,8,,,10,3.0,1.0,7,11,5,,9,,,,,4,2.0,,,,,,,,,6,
,8,,,10,3.0,1.0,7,11,5,,9,,,,,4,2.0,,,,,,,,,6,
,8,,,10,3.0,1.0,7,11,5*,,9,,,,,4,2.0,,,,12,,,,,6,
,8,,,10,3.0,1.0,7*,11,5,,9,,,,,4,2.0,,,,12,,,,,6,
,8,,,10,3.0,1.0,7,11,5,,9,,,,,4,2.0,,,,,,,,,6,
,8,,,10,3.0,1.0,7*,11,5,,9,,,,,4,2.0,,,,12,,,,,6,
,8,,,10,3.0,1.0,7,11,5,,9,,,,,4,2.0,,,,12,,,,,6*,
,8,,,10,3.0,1.0,7*,11,5,,9,,,12.0,,4,,,,,2,,,,,6,
,8,,2.0,10*,3.0,1.0,7,11,5,,9,,,,,4,,,,,12,,,,,6,
,8,,,10*,3.0,1.0,7,11,5,,9,,,,,4,2.0,,,,12,,,,,6,
,8,,,10,3.0,1.0,,11,5*,,9,,,,,4,2.0,6.0,,,7,,,,,,12.0
,8,,,10,3.0,1.0,5,11,,,9,,2.0,,,4,,6.0,,,7,,,,,,
,8,,,10,3.0,1.0,12,11,,,9,,,,,,2.0,4.0,,,7,,5*,,,6,
,8,,,10*,3.0,1.0,12,11,5,,9,,,,,,2.0,4.0,,,7,,,,,6,
,,,,10*,3.0,1.0,8,11,5,,9,,,,,,2.0,4.0,,,7,,12,,,6,
,,,,10*,3.0,1.0,8,11,5,,,9.0,,,,,,4.0,,,7,,12,,2,6,
,,,,10,2.0,1.0,8,11,5*,,,,,,,,,4.0,,,7,,12,9,3,6,
,8,,,10,2.0,1.0,12,11,,,,,,,,,,4.0,,,7,,5*,9,3,6,
1.0,8,,,12,3.0,,,11,,,9*,,,,,,,4.0,,,7,,5,10,2,6,
1.0,8,,,12,3.0,,,,,,9,,,,,11,,4.0,,,7,,5,10,2,6*,
1.0,8,,,9,3.0,,7,11,,,,,,,,,5.0,4.0,,,,,,10,2,6,
1.0,8,,,10,3.0,,7,11,,,,,,,,,,4.0,5*,,,,12,9,2,6,
1.0,8,,,10,3.0,,7,11,5*,,,,,,,,12.0,4.0,,,,,,9,2,6,
1.0,8,,,10,2.0,,7,11,5,,,,,,,,,4.0,,,,,,9,3,6,
1.0,8,,,10,3.0,,,11,,,12,,,,,,5.0,4.0,,,7*,,,9,2,6,
1.0,8,,,10,3.0,,,11,,,,,,,,,5.0,4.0,12,,,,7*,9,2,6,
1.0,8,,,10,3.0,,7,11,5,,,,,,,,6.0,4.0,12,,,,,9,2*,,
,,,,10,3.0,1.0,7,11,2,,8,12.0,4.0,,,,5.0,,6,,,,,9*,,,
,,,,10,3.0,1.0,7,11*,,,8,5.0,2.0,,,,4.0,,6,,12,,,9,,,
,11*,,,12,3.0,1.0,7,,10,,8,5.0,2.0,,,,4.0,,6,,,,,9,,,
,,,,10,3.0,1.0,7,11,,,8,5.0,2.0,,,,4.0,,6,,9,,,,,,
,12,,,,3.0,1.0,7,11,,,,5.0,2.0,,,,4.0,,6,,9,,,10,8*,,
,8,,,,3.0,1.0,7,11,,,,5.0,2.0,,,,4.0,,6,,9,,,10,,,
