Ashworth,Beamish,Blundell,Crawford,Cumbes,Dyson,Harris,Hill,Hudson,King A,King J,Kinsella,Leyland,Manning,Martin,McFarland,Parnell,Pritchard,Robertson,Sinclair,Stevens,Storton S,Westlake,Williams,Yardley
4,,,,1.0,9.0,,7,,6,,,,,2,5.0,,10,3.0,8,,,,11.0,
4,,,,1.0,9.0,12.0,7,,6,,,,8.0,,5.0,2,10,3.0,11*,,,,,
4,,,,1.0,9.0,,7,,6,,,,8.0,,5.0,2,10,3.0,,,,,11.0,
4,,,,1.0,9.0,,7,,6,,,,8.0,,5.0,2,10,3.0,,,,,11.0,
4,,,,1.0,9.0,,7,,6,,,,8.0,,5.0,2,10,3.0,,,,,11.0,
4*,,,,1.0,9.0,,7,,6,,,,8.0,,,2,10,3.0,12,,5,,11.0,
,,,4.0,1.0,,,7,,6,,,,8.0,,,2,9,3.0,10,,5,,11.0,
,,,4.0,1.0,,,7,,6,,10.0,,8.0,12,,2,9,3.0,,,5*,,11.0,
,,,4.0,,,,7,,6,,10.0,1.0,8.0,,5.0,2,9,3.0,,,,,11.0,
,,,,1.0,,,7,,6,,,,8.0,4,5.0,2,10,3.0,,,,9,11.0,
,,,,1.0,,,7,,6,,,,8.0,,5.0,2,4,3.0,10,,,9,11.0,
4,,,,1.0,,,7,,6,,,,,,5.0,2,8,3.0,10,,,9,11.0,
4,,,,1.0,,,7,,6,,,,8.0,,5.0,2,10,3.0,,,,9,11.0,
4,,,,1.0,,,7,,6,,,,8.0,,5.0,2*,10,3.0,,,12,9,11.0,
4,10*,,,1.0,,,7,,6,,,,,,5.0,,8,3.0,12,,2,9,11.0,
4,,,,1.0,,,7,,6,,,,,12,5.0,,8,3.0,10,,2,9*,11.0,
4,,,,1.0,,,7,,6,,,,,,5.0,,8,3.0,10,,2,9,11.0,
4,,,,1.0,,,7,,6,,,,,,5.0,,8,3.0,10,,2,9,11.0,
4,,,,1.0,,,7,,6,,,,,,5.0,2,8,3.0,10,,,9,11.0,
4,,,,1.0,,,7,,6,,,,,,5.0,2,8,3.0,10,,,9,11.0,
4,,,,1.0,,,7,,6,,,,,,5.0,2,8,3.0,10,,,9,11.0,
4,,,,1.0,,,7,,6,,,,,,5.0,2,8,3.0,10,,,9,11.0,
,,,,1.0,,,7,,6,,,,,,5.0,2,8,3.0,10,,4,9,11.0,
,,,,1.0,,,7*,,6,,,,,,5.0,2,8,3.0,10,,4,12,11.0,9.0
,,,,1.0,,,7,,6,,,,,3,5.0,2,8,,10,,4,,11.0,9.0
,,,,1.0,,,7,,6,,,,,3,5.0,2,8,,,,4,10,11.0,9.0
,,,12.0,1.0,,,7,,6,10.0,,,,3*,5.0,,8,2.0,,,4,,11.0,9.0
6,,,12.0,1.0,,,,,9,4.0,,,,,5.0,,7*,3.0,10,,2,,11.0,8.0
6,,,,1.0,,,,,9,4.0,,,,,5.0,2,7,,10,,3,,11.0,8.0
6,,,,1.0,,,7,,9,4.0,,,,,5.0,,,3.0,10,,2,,11.0,8.0
9,,,,1.0,,,7,,6,4.0,,,,,5.0,,,3.0,10,,2,,11.0,8.0
,,,,1.0,,,7,9.0,6,4.0,,,,,5.0,,10,3.0,,,2,,11.0,8.0
,,,,1.0,,,7,9.0,6,4.0,,,,,5.0,,10,3.0,,,2,,11.0,8.0
,,,,1.0,,,,9.0,6,4.0,,,,,5.0,,10,3.0,7,,2,,11.0,8.0
,,,,1.0,,,,,6,4.0,,,,12,5.0,7,10*,3.0,8,,2,,11.0,9.0
,,,,1.0,,,7,,6,4.0,,,,,5.0,,10,3.0,8,,2,,11.0,9.0
,,,,1.0,,,,9.0,6,4.0,,,,,5.0,,10,3.0,,7.0,2,,11.0,8.0
,,,,1.0,,,,9.0,6*,4.0,,,,,5.0,,10,3.0,12,7.0,2,,11.0,8.0
,,,,1.0,,,,9.0,,4.0,,,,,5.0,,10,3.0,7,6.0,2,,11.0,8.0
,,,,1.0,,,7,9.0,6,4.0,,,,,5.0,,10*,3.0,,12.0,2,,11.0,8.0
,,,,1.0,,,7,8.0,6,4.0,,,,2,5.0,,,3.0,11,10.0,,,,9.0
10,,7.0,,1.0,,,,8.0,6,2.0,,,,5,,,,3.0,11,4.0,,,,9.0
8,,2.0,,1.0,,,7,,6,4.0,,,,5,,,,3.0,11,10.0,,,,9.0
,,,,1.0,,,,9.0,6,4.0,,,,5,,,10,3.0,11,7.0,2,,,8.0
,,,,1.0,,,7,9.0,6,,,,,5,,,10,3.0,11,4.0,2,,,8.0
,,,,1.0,,,7,9.0,6,,,,,5,,,10,3.0,11,4.0,2,,,8.0
7,,,,1.0,,,,9.0,6,,,,,5,,,10,3.0,11,4.0,2,,,8.0
,,,,1.0,,,7,9.0,6,,,,,5,,,10,3.0,,4.0,2,,11.0,8.0
,,,,1.0,,,7,9.0,6,,,,,5,,,10,3.0,,4.0,2,,11.0,8.0
,,,,1.0,,,,9.0,6,2.0,,,,5,,,10,,7,4.0,3,,11.0,8.0
,,,,1.0,,,7,8.0,6,2.0,,,,5,,,10,,,4.0,3,,11.0,9.0
,,,,1.0,,,7*,8.0,6,2.0,,,,5,,,10,,12,4.0,3,,11.0,9.0
