Crossley,D'Arcy,Duffy,Fagan,Farrimond,Flood,Graham,Johnson,Lawrence,Loyden,Mathias,Molyneux,Moore M,Parry,Pritchard,Russell,Seasman,Sinclair,St John,Tynan,Veitch,Yeats,Young
11.0,6,,,,3,,,1.0,9,2,4,7,,,,,,,,8,5.0,10
11.0,6,,12.0,,3,,,1.0,9,2,4,7*,,,,,,,,8,5.0,10
11.0,6,,,,3,,,1.0,9,2,4,,,,,,7,,,8,5.0,10
11.0,,,6.0,,3,,,1.0,9,2,4,,,,,,7,,,8,5.0,10
11.0,,8,2.0,,3,,1.0,,9,6,4,,,,,,7,,,,5.0,10
7.0,,8,2.0,,3,,,1.0,9,6,4,,,,,,11,,,,5.0,10
11.0,,8*,2.0,3.0,,,,1.0,,6,4,,,,7,,10,,,12,5.0,9
11.0,,8,2.0,3.0,,,,1.0,,6,4,,,,7,,10,,,,5.0,9
11.0,,8,2.0,3.0,,,,1.0,,6,4,,,,7,,10,,,,5.0,9
11.0,,8,2.0,3.0,12,,,1.0,,6,4,,,,7,,,,,9,5.0,10*
11.0,12,8,,3.0,2*,,,1.0,9,6,4,,,,7,,,,,10,5.0,
11.0,,8,,3.0,2,,,1.0,9,6,4,,,,7,,,,,10,5.0,
11.0,,8,,3.0,2,,,1.0,9,6,4,,,,7,,,,,,5.0,10
11.0,4,8,,3.0,2,,,1.0,9,6,5,,12.0,,7*,,,,,10,,
11.0,,8,,3.0,2,,,1.0,9,6,4,,5.0,,7,,,,,,,10
11.0,,8,12.0,3.0,2,,,1.0,9,7,4*,,6.0,,,,,,,,5.0,10
11.0,,8*,4.0,3.0,2,,,1.0,9,6,,12,,,,,7,,,,5.0,10
11.0,,,4.0,3.0,2,,,1.0,9,6,,7,,,,,,8.0,,,5.0,10
11.0,,,4.0,3.0,2,,,1.0,9,6,,7,,,,,,8.0,,,5.0,10
11.0,,12,4.0,3.0,2,,,1.0,9,6*,,7,,,,,,8.0,,,5.0,10
11.0,,,4.0,3.0,2,,,1.0,9,6,,7,,,,,,8.0,,,5.0,10
7.0,,,4.0,3.0,2,,,1.0,9,6,,11,,,,,,8.0,,,5.0,10
11.0,,,4.0,12.0,3,,,1.0,9,2,,7,,,,,,8.0,,6*,5.0,10
11.0,,,6.0,3.0,2,,,1.0,9,4,,7,,,,,,8.0,,,5.0,10
11.0,,,4.0,3.0,2,,,1.0,9,6,,7,,,,,,8.0,,,5.0,10
11.0,,,4.0,3.0,2,,1.0,,9,6,,7,,,,,,8.0,,,5.0,10
11.0,,,4.0,3.0,2,,,1.0,9,6,,7,,,,,,8.0,,,5.0,10
11.0,,,4.0,3.0,2,,,1.0,9,6,,7,,,,,,8.0,,,5.0,10
11.0,8,9,4.0,3.0,2,,,1.0,,6,,7,,,,,,,,,5.0,10
11.0,8,,4.0,3.0,2,,,1.0,9,6,,7,,,,,,,,,5.0,10
11.0,8,12,4.0,3.0,2,,,1.0,9,,,7,,,,,,,,6*,5.0,10
11.0,8*,,4.0,3.0,2,7.0,,1.0,9,6,,12,,,,,,,,,5.0,10
11.0,,,4.0,3.0,2,7.0,,1.0,9,6,,8,,,,,,,,,5.0,10
11.0,,12,4.0,3.0,2,7.0,,1.0,9,6,,8*,,,,,,,,,5.0,10
,,8,4.0,,3,7.0,,1.0,9,6,,,,2,,,11,,,,5.0,10
,,7,4.0,,3*,8.0,,1.0,9,6,,,,2,,,11,,,12,5.0,10
12.0,,8,4.0,,,7.0,,1.0,9,3,,,,2,,,11*,,,6,5.0,10
12.0,,8,4.0,,,7.0,,1.0,9,3,,,,2,,,11*,,,6,5.0,10
12.0,,10*,6.0,3.0,,8.0,,1.0,9,4,,7,,2,,,,,,5,,11
11.0,,8,4.0,3.0,,7.0,,1.0,9,2,,,,,,,,,,6,5.0,10
11.0,,8,4.0,3.0,,7.0,,1.0,9*,2,,12,,,,,,,,6,5.0,10
11.0,,7,4.0,3.0,,,1.0,,9,6,,,,2,,,,,,8,5.0,10
11.0,,7,4.0,,,,1.0,,9,3,,,,2,,,,,8.0,6,5.0,10
11.0,,7*,4.0,,,,,1.0,9,3,,,,2,,12.0,,,8.0,6,5.0,10
11.0,,,6.0,3.0,,,1.0,,9,4,,,,2,,,,,7.0,8,5.0,10
11.0,,,4.0,3.0,,,1.0,,9,6,,,,2,,,,,7.0,8,5.0,10
11.0,,,4.0,3.0,,,1.0,,9*,6,,12,,2,,,,,7.0,8,5.0,10
11.0,,12,4.0,,3,,1.0,,,6,5,9,,2,,7.0,,,,8,,10*
11.0,,,8.0,12.0,3,,1.0,,9,6,,,,2*,,,,,7.0,4,5.0,10
