Bramhall,Cahill,Cliff,Craven,Eaton,Evans,Flood,Griffiths,Johnson,Kerr,Mathias,McAuley,Moore,O'Neil,Palios,Parry,Peplow,Postlewhite,Thomas,West,Whittingham,Williams J
,,,8,,10.0,3,,1.0,12.0,2,11,9.0,4,6,,7*,5.0,,,,
,,,7,,6.0,3,,1.0,12.0,2,11,9.0,8,4*,,10,5.0,,,,
5,,,,,6.0,3,,1.0,12.0,2,11,9.0,10,8*,4,7,,,,,
5,,,,,6.0,3,,1.0,12.0,2,11,9.0,8*,7,4,10,,,,,
5,,12.0,8*,,6.0,3,,1.0,10.0,2,11,9.0,,7,4,,,,,,
5,,7.0,,,6.0,3,,1.0,,2,11,9.0,,8,4,10,,,,,
5,,7.0,,,6.0,3,,1.0,,2,11,9.0,,8,4,10,,,,,
5,,8.0,,,6.0,2,,1.0,,3,11,9.0,,7,4,10,,,,,
5,,,,,10.0,3,,1.0,,2,11,9.0,8,6,4,7,,,,,
5,,,7,,10.0,3,,1.0,,2*,11,9.0,8,6,4,,12.0,,,,
5,,,10*,,6.0,3,,1.0,,2,11,9.0,8,7,4,12,,,,,
5,,,,,10.0,3,,1.0,,2,11,9.0,8,,4,7,6.0,,,,
8,,,,,6.0,3,,1.0,,2,11,9.0,7,,4,10,5.0,,,,
8,,,,,6.0,3*,,1.0,,2,11,9.0,7,12,4,10,5.0,,,,
8,,,,,6.0,3,,1.0,,2,11,9.0,7,,4,10,5.0,,,,
8,,,,,6.0,3,,,,2,11,9.0,7,,4,10,5.0,,1.0,,
8,3.0,,,,6.0,,,,,2,11,9.0,7,,4,10,5.0,,1.0,,
8*,5.0,,,,6.0,3,,,,2,11,9.0,7,12,4,10,,,1.0,,
,5.0,,,,6.0,3,,,,2,11,9.0,7,,4,10,8.0,,1.0,,
5,3.0,,,,6.0,11*,,,,2,12,9.0,7,,4,10,8.0,,1.0,,
4,2.0,,,,8.0,3,,1.0,,5,11,9.0,7,,6,10,,,,,
4,5.0,,12,,8.0,3,,1.0,,2,11*,9.0,7,,6,10,,,,,
8,5.0,,,,6.0,3,,1.0,,2,11,9.0,7,,4,10,,,,,
8,5.0,,7,,6.0,3,,1.0,,2,11*,9.0,,,4,10,12.0,,,,
5,,,7,,6.0,3,,1.0,,2,11,9.0,,8,4,10,,,,,
5,,,7,,6.0,3,,1.0,,2,11,9.0,,8,4,10,,,,,
8,,,10,,6.0,3,,1.0,,2,,9.0,,7,4,11,5.0,,,,
4,,,8,,10.0,3,,1.0,,2,12,9.0,,11,6,7*,5.0,,,,
8*,,,10,,6.0,3,,1.0,12.0,2,11,9.0,,7,4,,5.0,,,,
,,,10,,6.0,3,,1.0,8.0,2,11,9.0,,7,4,,5.0,,,,
,,,10,,6.0,3,,1.0,8.0,2,11,9.0,,7,4,,5.0,,,,
,,,10,,6.0,3,,1.0,9.0,2,11,,8,7,4,,5.0,,,,
,,,10,,6.0,3,,1.0,9.0,2,11,,8,7,4,,5.0,,,,
,,,8,,6.0,3,,1.0,9.0,2,11*,,7,10,4,12,5.0,,,,
8,,,10,,6.0,,,1.0,9.0,2,11,,7,3,4,,5.0,,,,
4,,,10,,8.0,,,1.0,9.0,3,11,,7,2,6,,5.0,,,,
5,,2.0,7,,6.0,,,1.0,9.0,3,11,,8,12,4,10*,,,,,
8,,2.0,10,,6.0,,,1.0,9.0,3,11,,7,,4,,,,,,5.0
5,,,7*,,6.0,2,,1.0,9.0,3,11,,8,,4,12,10.0,,,,
5,,,7*,,6.0,2,,1.0,9.0,3,11,,8,,4,,10.0,12,,,
5,,,12,,6.0,2,,1.0,9.0,3,11,,7,,4*,,8.0,10,,,
8,,,,,6.0,2,,1.0,9.0,3,11,,7,,4,,5.0,10,,,
5*,,2.0,12,,7.0,3,,1.0,9.0,,11,,8,,4,,6.0,10,,,
,,,7,,6.0,2,,1.0,9.0,3,11,,8,,4,,5.0,10,,,
,,,7,,6.0,2,,1.0,9.0,3,11,,8*,,4,12,5.0,10,,,
,,,8,,6.0,2,,1.0,9.0,3,11,,7,,4,,5.0,10,,,
,,,7,,6.0,2,,1.0,9.0,3,11,,8,,4,,5.0,10,,,
,,,7*,,6.0,2,,1.0,9.0,3,11,,8,,4,12,5.0,10,,,
8,,,12,2.0,6.0,,7,1.0,9.0,3,11,,,,4,,5.0,10*,,,
6,,,8,,10.0,3,11*,1.0,,2,,,,,4,7,5.0,9,,12.0,
6,,,8,,10.0,3,11,1.0,9.0,2,,,,,4,7,5.0,,,,
