Allen,Coppell,Crossley,Fagan,Farrimond,Flood,Johnson,Lawrence,Loyden,Mathias,McAuley,Mitchell,Moore,Palios,Peplow,Pritchard,Seasman,Seddon,Stevenson,Tynan,Veitch,Yeats,Young
,,11*,2.0,3.0,,,1.0,9,12.0,,,4.0,6,,,,5.0,8.0,10,7,,
,,11,2.0,3.0,,,1.0,9,,,,7.0,4,,,,5.0,6.0,10,8,,
,,,2.0,3.0,,,1.0,9,,11.0,,4.0,8,,,,,6.0,10,7,5.0,
,,,2.0,3.0,,,1.0,9,,11.0,,4.0,8,,,,,6.0,10,7,5.0,
,,,2.0,3.0,,1.0,,9,,11.0,,4.0,6,,12.0,,,,7,8*,5.0,10
,,,2.0,3.0,,1.0,,9,6.0,11.0,,4.0,7,,,,,,8,,5.0,10
,,,2.0,3.0,,1.0,,9,,11.0,,4.0,8,,,,,6.0,7,,5.0,10
,,,2.0,3.0,,1.0,,9,,11.0,,4.0,8,,,,,6.0,7,,5.0,10
,,,2.0,3.0,,1.0,,9,,11.0,,4.0,8,,,,,6.0,7,,5.0,10
,,,,3.0,,1.0,,9,2.0,11.0,,4.0,8,,,,,6.0,7,,5.0,10
,,12,,3.0,,1.0,,9,2.0,11.0,,4.0,8,,,,,6.0,7*,,5.0,10
12,,7,,3.0,,1.0,,9*,2.0,11.0,,4.0,8,,,,,6.0,,,5.0,10
,,7,,,3.0,1.0,,9,2.0,11.0,,4.0,6,,,,,,8,,5.0,10
,,12,4.0,,3.0,1.0,,9,2.0,11.0,,5.0,8,,,,,6.0,7*,,,10
9*,,12,7.0,3.0,,1.0,,,2.0,11.0,,4.0,8,,,,,6.0,,,5.0,10
9,,,6.0,3.0,,1.0,,,2.0,11.0,,5.0,8,,,,,4.0,7,,,10
9,,,6.0,3.0,,1.0,,,2.0,11.0,,5.0,8,,,,,4.0,7,,12.0,10*
11*,,7,,3.0,,1.0,,9,2.0,,,4.0,8,,,,,6.0,10,,5.0,12
11,,7,6.0,3.0,,1.0,,9,2.0,,,4.0,8,,,,,,,,5.0,10
11,,7,6.0,3.0,,1.0,,9,2.0,,,4.0,8,,,,,,,,5.0,10
11,,,8.0,3.0,,1.0,,,2.0,,,4.0,7,,,,,6.0,9,,5.0,10
9,,7,4.0,3.0,,1.0,,,2.0,,,6.0,10,,,,,5.0,8,,,11
9*,,7,12.0,3.0,,,1.0,,2.0,,,4.0,8,,,,,6.0,10,,5.0,11
,,7,,3.0,,,1.0,,2.0,,,6.0,8,,,,,4.0,9,11,5.0,10
12,,7,,3.0,,,1.0,,2.0,,,4.0,8,,,,,6.0,9*,10,5.0,11
,,7,,3.0,,,1.0,12,2.0,,,4.0,8*,,,,,6.0,9,10,5.0,11
11,,7,,3.0,,,1.0,,2.0,,,6.0,,,,4.0,,5.0,9,8,,10
12,,,,3.0,,,1.0,9,2.0,,,5.0,6,,,11.0,,4.0,7,8,,10*
12,,7,,3.0,2.0,,1.0,9*,6.0,,,5.0,,,,11.0,,4.0,10,8,,
10,,7,,,3.0,,1.0,,2.0,,,5.0,6,,,11.0,,,8,4,,9
11,,7*,,,3.0,1.0,,,2.0,,,4.0,10,,,,,6.0,12,8,5.0,9
,7.0,,,,3.0,1.0,,,2.0,,,9.0,,,,6.0,,8.0,11,4,5.0,10
,,11,,,,1.0,,9,3.0,,,4.0,2,7,,,,,8,6,5.0,10
,12.0,11*,,,,1.0,,9,3.0,,,5.0,4,7,,,,2.0,8,6,,10
,7.0,,,3.0,,1.0,,9,2.0,,,4.0,8,11,,,,,,6,5.0,10
12,7.0,,,3.0,,1.0,,9,2.0,,,4.0,,11*,,,,,10,6,5.0,8
,12.0,,,3.0,,1.0,,9*,2.0,,10.0,4.0,,7,,,,,8,6,5.0,11
,,12,,3.0,,1.0,,9,2.0,,10.0,4.0,,7*,,,,,8,6,5.0,11
12,,11*,,3.0,,1.0,,,2.0,,9.0,4.0,,7,,,,,8,6,5.0,10
,,11,,3.0,,1.0,,,2.0,,9.0,6.0,,7,,,,,8,4,5.0,10
,,9,,3.0,,1.0,,,2.0,,10.0,4.0,,7,,,,,8,6,5.0,11
,12.0,9*,,3.0,,1.0,,,2.0,,10.0,4.0,,7,,,,,8,6,5.0,11
,,10,,3.0,,1.0,,,2.0,,9.0,4.0,,7,,,,,8,6,5.0,11
11,,,,3.0,,1.0,,,2.0,,10.0,4.0,12,7,,,,,8*,6,5.0,9
8,,10,,3.0,,1.0,,,2.0,,9.0,4.0,,7,,,,,,6,5.0,11
11,,9,,3.0,,1.0,,,2.0,,,4.0,7,,,,,,8,6,5.0,10
,7.0,,,3.0,,1.0,,,2.0,,9.0,4.0,,8,,,,,10,6,5.0,11
,,10,,3.0,,1.0,,,2.0,,9.0,4.0,11,7,,,,,8,6,5.0,
8,7.0,10,,3.0,,1.0,,,2.0,,9.0,4.0,11*,,,12.0,,,,6,5.0,
,,10*,,3.0,2.0,1.0,,,,,9.0,4.0,12,7,,,,,8,6,5.0,11
,,10,,3.0,2.0,1.0,,,,,9.0,4.0,12,7*,,,,,8,6,5.0,11
8,7.0,10,,,3.0,1.0,,,2.0,,9.0,5.0,4,,,,,,11,6,,
,,10,,3.0,,1.0,,,2.0,,9.0,4.0,,7,,,,,8,6,5.0,11
