Beamish,Brodie,Casey,Crossley,Cumbes,Dempsey,Gill,Griffiths,Hinch,Kennedy,King A,Knapp,Lane,MacNamee,Mathias,Moorcroft,Pointon,Pritchard,Roberts,Scott,Smith,Storton S,Storton T,Thomas,Yardley
7.0,,,,1.0,3.0,,,,,6.0,,,11,,4,2,8*,,,10,12,5.0,,9
7.0,,,,1.0,3.0,,,,,6.0,,,11,,4,2,8,,,10,,5.0,,9
7.0,,,,,3.0,,,,,6.0,,,11,,4,,8,1.0,,10,2,5.0,,9
7.0,,,,,3.0,,,,,6.0,,,11,,4,,8,1.0,,10,2,5.0,,9
7.0,,,,,3.0,,,,,6.0,,,11,,4,,8,1.0,,10,2,5.0,,9
7.0,,,,,3.0,,,,,6.0,,,11,12.0,4,,8,1.0,,10*,2,5.0,,9
7.0,,,,,3.0,,,,,6.0,,,11,,4,,8,1.0,,10,2,5.0,,9
7.0,,,,,3.0,,,,,6.0,,,11,,4,,8,1.0,,10,2,5.0,,9
7.0,,,,,3.0,11,,,8,4.0,,,,6.0,,2,5,,,10,,,1.0,9
7.0,,,,,3.0,11,,,,6.0,,,12,8.0,,2,4,,,10*,,5.0,1.0,9
10.0,,6.0,7,,3.0,,,,,4.0,,,11,,,2,8,,,,,5.0,1.0,9
10.0,,6.0,,,3.0,,,,,4.0,,,11,,8,2,7,,,,,5.0,1.0,9
8.0,,10.0,,,3.0,,,,,4.0,,,11,,6,2,7,,,,,5.0,1.0,9
8.0,,10.0,,,3.0,,,,,4.0,,,11,,6*,2,7,,,12,,5.0,1.0,9
7.0,6,,,,3.0,,,,,4.0,,,11,,,2,8*,,12,10,,5.0,1.0,9
7.0,6,,,,3.0,,,,,4.0,,,11,,,2,,,8,10,,5.0,1.0,9
10.0,6,,,,3.0,,,,,4.0,5,,11,7.0,,2*,,,8,9,12,,1.0,
10.0,6,,,,3.0,,,,,4.0,5*,,11,7.0,,2,,,8,9,12,,1.0,
7.0,6,,11,,3.0,,,,,4.0,,,12,,,,,,8,10,2,5.0,1.0,9*
10.0,6,,11,,3.0,,,,7,4.0,,,,,,,,,8,9,2,5.0,1.0,
7.0,6,,11,,3.0,,,,,4.0,,,,,,,,,8,10,2,5.0,1.0,9
7.0,6,,11,,3.0,,,,,4.0,,,,,,,,,8,10,2,5.0,1.0,9
7.0,6,,11,,3.0,,,,,4.0,,,,,,,12,,8*,10,2,5.0,1.0,9
7.0,6,,11,,3.0,,,,,4.0,5,,,,,,8*,,,10,2,12.0,1.0,9
9.0,6,,11*,,3.0,,,,7,4.0,,,12,,,,,,8,10,2,5.0,1.0,
7.0,6,,,,3.0,,,,12,4.0,,,11,,,,10,,8,9,2*,5.0,1.0,
9.0,6,,,,3.0,,,,7,4.0,,,11,,,,2,,8,10,,5.0,1.0,
9.0,6,,11*,,3.0,,,,7,4.0,,,,,,12,2,,8,10,,5.0,1.0,
10.0,6,,,,3.0,,,,7,4.0,5,1.0,11,,12,,2,,8,9*,,,,
9.0,6,,,,3.0,,,,7*,4.0,5,1.0,11,12.0,,,2,,8,10,,,,
7.0,6,,,,3.0,,,,,4.0,5,1.0,11,,,,2,,8,10,,,,9
7.0,6,,,,3.0,,,,,4.0,5,1.0,11,,,,2,,8,10,,,,9
7.0,6,,,,,3,,,,,5,1.0,11,,4,,10,,8,,2,,,9
7.0,6,8.0,,,,3,,,,,5,1.0,11*,,4,,10,,12,9,2,,,
11.0,6*,8.0,,,,3,,,,,5,1.0,12,,4,,7,,,10,2,,,9
7.0,10,4.0,11,,,3,,,12,,,1.0,,,6,,8,,,5,2,,,9*
10.0,,,11,,,3,2.0,,7,6.0,5,1.0,,,4,,12,,8*,,,,,9
10.0,,,11,,,3,2.0,,7*,6.0,5,1.0,,12.0,4,,,,8,,,,,9
10.0,,,11,,,3,2.0,,7,6.0,5,1.0,,12.0,4,,,,8*,,,,,9
9.0,,,11,,,3,2.0,,7,6.0,5,1.0,,8.0,4,,10,,,,,,,
9.0,,,11,,,3*,2.0,12,7,6.0,5,1.0,,8.0,4,,10,,,,,,,
9.0,,,,,,3,2.0,,,6.0,5,1.0,11,7.0,4,,10,,,8,,,,
7.0,8,,,,,11,,12,,6.0,5,1.0,,3.0,4,,,,,10*,2,,,9
7.0,,,,,,11,,10,,8.0,5,1.0,,3.0,4,,6,,,,2,,,9
7.0,,,,,,11,,10,,6.0,5,1.0,,3.0,4,12,,,8*,,2,,,9
7.0,6,,,,,11,,10,,8.0,5,1.0,,3.0,4,,,,,12,2,,,9*
7.0,6,,,,,11,,10*,,8.0,5,1.0,,3.0,4,,,,,12,2,,,9
7.0,6,,,,,11,,10*,,8.0,5,1.0,,3.0,4,,,,,12,2,,,9
7.0,6,,,,,11,,10,,8.0,5,1.0,,3.0,4,,,,,,2,,,9
7.0,6,,12,,,11,,10,,8.0,5,1.0,,3.0,4,,,,,,2,,,9*
7.0,6,,,,,11,,10,,8.0,5,1.0,,3.0,,4,,,,,2,,,9
7.0,6,,,,,11,,10,,8.0,5,1.0,,3.0,,4,,,,,2,,,9
7.0,6,,,,,11,,10,,8.0,5,1.0,,3.0,,4,,,,,2,,,9
7.0,6,,12,,,11,,10*,,8.0,5,1.0,,3.0,,4,,,,,2,,,9
7.0,6,,,,,11,,10,,8.0,5,1.0,,3.0,,4,,,,,2,,,9
