Bramhall,Brown O,Burgess,Craven,Endersby,Ferguson,Griffiths,Hamilton,Hutchinson,Johnson,Kelly,Kerr,Mathias,Morley,Mountfield,Mungall,Parry,Powell,Williams J
5,10,3,,,,11,,8,1.0,7,9*,2,,,,4.0,12,6
5,10,3,,,,11,,8,1.0,7,9,2*,,,12.0,4.0,,6
5,10,2,,,,11,,8,1.0,7,9,,3*,,12.0,4.0,,6
5,10,3,7,1.0,,11*,12,8,,,9,,,,2.0,4.0,,6
5,10,3,12,1.0,,11,,8*,,7,9,,,,2.0,4.0,,6
5,10,3,12,1.0,,11,,,,7,9,,,4,8.0,2.0,,6*
5,10,3,,1.0,,11,8,,,7,9,,,4,2.0,,,6
5,10,3,,1.0,,11,8,,,7,9,,,4,2.0,,,6
5,10,3,,1.0,,11,8*,12,,7,9,,,4,2.0,,,6
5,10*,3,12,1.0,,11,,8,,7,9,,,4,2.0,,,6
5,10,3,12,1.0,,11,,8,,7*,9,,,4,2.0,,,6
5,10,3,7,1.0,,11,12,8,,,9*,,,,2.0,4.0,,6
5,10,3,4,1.0,,11,7,,,,9,,8,,2.0,,,6
5,10,3,4,1.0,,11,7,,,,9,,8,,2.0,,,6
5,10,3,4,1.0,,11,7,12,,,9,,8*,,2.0,,,6
5,10,3,4,1.0,,11,7,8,,,9,,,,2.0,,,6
5,10,3,4,1.0,,11,7,8,,,9*,,12,,2.0,,,6
5,10,3,4,1.0,,11,7,9,,,,,8,,2.0,,,6
5,10,3,4,1.0,,11,7,9,,,,,8,,2.0,,,6
5,10,3,4,1.0,,11,7,9,,,,,8,,2.0,,,6
5,10,3,4,1.0,,11,7,9,,,,,8,,2.0,,,6
5,10,3,4,1.0,,11,7,9,,,12,,8*,,2.0,,,6
5,10,3*,12,1.0,,11,7,8,,,9,,,4,2.0,,,6
5,10,3,12,1.0,,,7,8,,,9*,,11,4,2.0,,,6
5,10*,3,12,1.0,,11,7,8,,,,,6,4,2.0,,,9
5,,3,6,,,11,7,9,1.0,,10,,,4,2.0,,,8
5,10,3,11,1.0,,,7,8,,,9,,,,2.0,4.0,,6
5,10,3,11,1.0,,,7,8,,,9,,,,2.0,4.0,,6
,10,3,11,1.0,,6,7,8,,,9,,,4,2.0,5.0,,
5,10,3,11,1.0,,,7,8,,,9,,,,2.0,4.0,,6
5,10,3,11*,1.0,,12,7,8,,,9,,,,2.0,4.0,,6
5,12,3,11*,1.0,,10,7,8,,,9,,,,2.0,4.0,,6
5,10,3,,1.0,,,7,8*,,,9,,12,,2.0,4.0,11,6
5,,3,,1.0,12,,7,,,,9,,10,8*,2.0,4.0,11,6
5,,3,10,1.0,,11,7,,,,9,,,,2.0,4.0,8,6
5,12,3,10,1.0,,11,7*,,,,9,,,,2.0,4.0,8,6
5,12,3,10,1.0,6*,11,7,,,,9,,,,2.0,4.0,8,
5*,,3,10,1.0,,12,7,,,,9,,,11,2.0,4.0,8,6
5,,3,10,1.0,,11,7,,,,9,,,4,2.0,,8,6
5,12,3,10*,1.0,,11,7,,,,9,,,4,2.0,,8,6
5,8,3,10,1.0,,11,7*,,,,9,,,4,2.0,12.0,,6
5,7,3,10,1.0,,11,,,,,9,,12,4,2.0,,8,6*
5,,3,10,1.0,,11*,,,,,9,,12,4,2.0,8.0,7,6
5,,3,10,1.0,,11*,,,,,9,,12,4,2.0,8.0,7,6
,12,3,10,1.0,,11,7,,,,9,,6,4,,2.0,8*,5
,9*,3,10,1.0,,11,8,12,,,,,,4,5.0,2.0,7,6
,,3,10,1.0,,11,8,4,,,9,,,,5.0,2.0,7,6
,,3,10,1.0,,11,8,4,,,9,,,,5.0,2.0,7,6
,12,3,10*,1.0,,11,8,4,,,9,,,,5.0,2.0,7,6
,12,3,10,1.0,,11*,8,4,,,9,,,,5.0,2.0,7,6
,8,3,10,1.0,11,,7,4,,,9,,,,5.0,2.0,,6
,8,3,10,1.0,9*,11,12,4,,,,,,7,5.0,2.0,,6
,8,3,10,1.0,,11*,7,4,,,,,12,2,5.0,,9,6
,12,3,10,1.0,11*,,,4,,,9,,,8,5.0,2.0,7,6
